Url,chaptername
/book/86220/44018708.html,第一章 空山孤观剩一人
/book/86220/44018712.html,第二章 我为法事而来 一
/book/86220/44018716.html,第三章 我为法事而来 二
/book/86220/44018717.html,第四章 我为法事而来 三
/book/86220/44018722.html,第五章 背叛
/book/86220/44018726.html,第六章 师傅曾经说过
/book/86220/44018731.html,第七章 剑尖上画了一道符
/book/86220/44018737.html,第八章 如果可以我想留下来
/book/86220/44018740.html,第九章 归家
/book/86220/44018744.html,第十章 只是为了我自己
/book/86220/44018749.html,第十一章 缘来 一直准备着
/book/86220/44018751.html,第十二章 有你真好
/book/86220/44018755.html,第十三章 至少我还有你 你还有我
/book/86220/44018760.html,第十四章 该来的总会来
/book/86220/44018764.html,第十五章 我被灵海撞了一下腰
/book/86220/44018769.html,第十六章 谢谢你
/book/86220/44018774.html,第十七章 修道者之间的战斗
/book/86220/44018778.html,第十八章 给我一把刀
/book/86220/44018781.html,第十九章 来自白家的人
/book/86220/44018786.html,第二十章 别了 西峡镇
/book/86220/44018790.html,第二十一章 离去
/book/86220/44018793.html,第二十二 送礼
/book/86220/44018797.html,第二十三章 师兄的剑
/book/86220/44018805.html,第二十四章 入门 一
/book/86220/44018806.html,第二十五章 入门 二
/book/86220/44018810.html,第二十六章 访客
/book/86220/44018815.html,第二十七章 对赌
/book/86220/44018822.html,第二十八章 比试
/book/86220/44018824.html,第二十九章 路上有人已识君
/book/86220/44018829.html,第三十章 丹与符
/book/86220/44018833.html,第三十一章 邀请
/book/86220/44018835.html,第三十二章 出发
/book/86220/44018842.html,第三十三章 寒冰矿洞 一
/book/86220/44018844.html,第三十四章 寒玉矿洞 二
/book/86220/44018847.html,第三十五章 寒玉矿洞 三
/book/86220/44018853.html,第三十六章 寒玉矿洞 四
/book/86220/44018856.html,第三十七章 寒冰矿洞 五
/book/86220/44018859.html,第三十八章 宗门命令
/book/86220/44018863.html,第三十九章 魔宗弟子 一
/book/86220/44018867.html,第四十章 魔宗弟子 二
/book/86220/44018871.html,第四十一章 我回来了
/book/86220/44018875.html,第四十二章 原来如此
/book/86220/44018879.html,第四十三章 这样真好
/book/86220/44018883.html,第四十四章 天启
/book/86220/44018885.html,第四十五章 又见峰主
/book/86220/44018890.html,第四十六章 争执
/book/86220/44018893.html,第四十七章 孤月道人
/book/86220/44018897.html,第四十八章 先练练看
/book/86220/44018902.html,第四十九章 随波逐流的孤舟
/book/86220/44018905.html,第五十章 天上掉下无数师妹
/book/86220/44018909.html,第五十一章 任务
/book/86220/44018913.html,第五十二章 埋在地底深处的天地 一
/book/86220/44018915.html,第五十三章 埋在地底深处的天地 二
/book/86220/44018919.html,第五十四章 等了千年的白狐
/book/86220/44018923.html,第五十五章 青木道人
/book/86220/44018927.html,第五十六章 青木宗的由来
/book/86220/44018929.html,第五十七章 青木道人的遗泽
/book/86220/44018935.html,第五十八章 每逢佳节倍思亲
/book/86220/44018938.html,第五十九章 月圆之夜山门破
/book/86220/44018941.html,第六十章 海上升明月
/book/86220/44018946.html,第六十一章 天涯共此时
/book/86220/44018950.html,第六十二章 繁花落尽百花殇
/book/86220/44018954.html,第六十三章 挡箭牌
/book/86220/44018957.html,第六十四章 复命
/book/86220/44018961.html,第六十五章 关门便是静室
/book/86220/44018964.html,第六十六章 天地之间有九州
/book/86220/44018969.html,第六十七章 纷扰世间有静潭
/book/86220/44018971.html,第六十八章 巡防 一
/book/86220/44018976.html,第六十九章 巡防 二
/book/86220/44018979.html,第七十章 巡防 三
/book/86220/44018983.html,第七十一章 巡防 四
/book/86220/44018987.html,第七十二章 巡防 五
/book/86220/44018991.html,第七十三章 巡防 六
/book/86220/44018998.html,第七十四章 巡防 七
/book/86220/44018999.html,第七十五章 巡防 八
/book/86220/44019006.html,第七十六章 兄弟相见
/book/86220/44019008.html,第七十七章 宗门叛逆 一
/book/86220/44019012.html,第七十八章 宗门叛逆 二
/book/86220/44019017.html,第七十九章 宗门叛逆 三
/book/86220/44019022.html,第八十章 没有星星的夜里 一
/book/86220/44019023.html,第八十一章 没有星星的夜里 二
/book/86220/44019029.html,第八十二章 没有星星的夜里 三
/book/86220/44019034.html,第八十三章 石山锁妖 一
/book/86220/44019035.html,第八十四章 石山锁妖 二
/book/86220/44019040.html,第八十五章 天不容你 便换了它 一
/book/86220/44019046.html,第八十六章 天不容你 便换了它 二
/book/86220/44019051.html,第八十七章 天若容我 我便能活
/book/86220/44019052.html,第八十八章 收破烂的修士
/book/86220/44019058.html,第八十九章 寒海深处的船队
/book/86220/44019062.html,第九十章 我真的想帮你
/book/86220/44019067.html,第九十一章 因为活够了 所以不需要
/book/86220/44019068.html,第九十二章 金丹易碎 神游可死
/book/86220/44019072.html,第九十三章 潜回宗门
/book/86220/44019077.html,第九十四章 你我本同命 一
